,origin_ID,destination_ID,exist_in_unipartite,exists_in_bipirtate,distances,distances_0,nodes,Dest_masses,,origin_ID,destination_ID,exist_in_unipartite,destination_ID,destination_ID,distances,Dest_masses,dist+mass,,,,,,,,,
0,A,A,10,,0,0,A,60,,A,A,10,D,A,0,60,0,,,,,,,,,
1,A,B,10,,8,8,B,10,,A,B,10,D,B,8,10,80,,,,,,,,,
2,A,C,10,10,2,2,C,10,,A,C,10,D,C,2,10,20,,,,,,,,,
3,A,D,10,10,5,5,D,30,,A,D,10,D,D,5,30,150,,A_ad,350,,,,,,
4,A,E,10,10,5,0,E,50,,A,E,10,D,E,5,50,250,,,,,,,,,
5,B,A,10,,8,8,A,60,,,,,,,,,,,,,,,,,,
6,B,B,,,0,0,B,10,,,,,,,,,,,,,,,,,,
7,B,C,,,10,10,C,10,,,,,,,,,,,,,,,,,,
8,B,D,10,10,7,7,D,30,,origin_ID,destination_ID,exist_in_unipartite,destination_ID,destination_ID,distances,Dest_masses,dist+mass,,,,,,,,,
9,B,E,10,10,4,4,E,50,,A,A,10,D,A,0,60,0,,,,,,,,,
10,C,A,10,,2,2,A,60,,A,B,10,D,B,8,10,80,,,,,,,,,
11,C,B,,,10,10,B,10,,A,C,10,D,C,2,10,20,,,,,,,,,
12,C,C,,,0,0,C,10,,A,D,10,D,D,5,30,150,,A_ad,100,,,,,,
13,C,D,10,,6,6,D,30,,A,E,0,D,E,5,50,250,,,,,,,,,
14,C,E,,,9,9,E,50,,,,,,,,,,,,,,,,,,
15,D,A,10,,5,0,A,60,,,,,,,,,,,,,,,,,,
16,D,B,10,,7,7,B,10,,,,,,,,,,,,,,,,,,
17,D,C,10,,6,6,C,10,,origin_ID,destination_ID,exists_in_bipirtate,destination_ID,destination_ID,distances,Dest_masses,dist+mass,,origin_ID,destination_ID,exists_in_bipirtate,destination_ID,destination_ID,distances,Dest_masses,dist+mass
18,D,D,,,0,0,D,30,,A,A,,D,A,0,60,0,,A,A,,D,A,0,60,0
19,D,E,10,,9,9,E,50,,A,B,,D,B,8,10,80,,A,B,,D,B,8,10,80
20,E,A,10,,5,5,A,60,,A,C,10,D,C,2,10,20,,A,C,10,D,C,2,10,20
21,E,B,10,,4,4,B,10,,A,D,10,D,D,5,30,150,,A,D,10,D,D,5,30,150
22,E,C,,,9,9,C,10,,A,E,10,D,E,0,50,0,,A,E,10,D,E,5,50,250
23,E,D,10,,2,2,D,30,,,,,,,,,,,,,,,,,,
24,E,E,10,,0,0,E,50,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,origin_ID,destination_ID,exists_in_bipirtate,destination_ID,destination_ID,distances,Dest_masses,dist+mass,,origin_ID,destination_ID,exists_in_bipirtate,destination_ID,destination_ID,distances,Dest_masses,dist+mass
,,,,,,,,,,A,A,,D,A,0,60,0,,A,A,,D,A,0,60,0
,,,,,,,,,,A,B,,D,B,8,10,80,,A,B,,D,B,8,10,80
,,,,,,,,,,A,C,10,D,C,2,10,20,,A,C,10,D,C,2,10,20
,,,,,,,,,,A,D,10,D,D,5,30,150,,A,D,10,D,D,5,30,150
,,,,,,,,,,A,E,0,D,E,0,50,0,,A,E,0,D,E,5,50,250
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A_ad,350,,,,,,,,,,,,,,,,,,,,,
,,,,A_ad,100,,,,,,,,,,,,,,,,,,,,,
,,,,A_ad,270,,,,,,,,,,,,,,,,,,,,,
,,,,A_ad,20,,,,,,,,,,,,,,,,,,,,,
,,,,A_ad,20,,,,,,,,,,,,,,,,,,,,,
,,,,A_ad,20,,,,,,,,,,,,,,,,,,,,,
